agno,mes,dia,valor
1973,2,5,0
1973,3,5,0
1973,4,5,5
1973,5,5,7
1973,6,5,49
1973,7,5,62
1973,8,5,0
1973,9,5,0
1973,10,5,11
1973,11,5,0
1973,12,5,0
1974,1,5,0
1974,2,5,0
1974,3,5,0
1974,4,5,0
1974,5,5,14
1974,6,5,91
1974,7,5,0
1974,8,5,4
1974,9,5,22
1974,10,5,0
1974,11,5,0
1974,12,5,0
1975,1,5,0
1975,2,5,0
1975,3,5,2.9
1975,4,5,0
1975,5,5,42.5
1975,6,5,49
1975,7,5,29
1975,8,5,36
1975,9,5,0
1975,10,5,0
1975,11,5,0
1975,12,5,0
1976,1,5,4
1976,2,5,4
1976,3,5,0
1976,4,5,0
1976,5,5,86
1976,6,5,0
1976,7,5,3
1976,8,5,35.5
1976,9,5,0
1976,10,5,17
1976,11,5,0
1976,12,5,0
1977,1,5,0
1977,2,5,0
1977,3,5,0
1977,4,5,4
1977,5,5,19
1977,6,5,43
1977,7,5,197
1977,8,5,32
1977,9,5,0
1977,10,5,18.5
1977,11,5,0
1977,12,5,0
1978,1,5,0
1978,2,5,0
1978,3,5,0
1978,4,5,0
1978,5,5,0
1978,6,5,23
1978,7,5,305.4
1978,8,5,0
1978,9,5,33
1978,10,5,0
1978,11,5,67.5
1978,12,5,0
1979,1,5,0
1979,2,5,0
1979,3,5,0
1979,4,5,12
1979,5,5,11
1979,6,5,0
1979,7,5,38
1979,8,5,32.5
1979,9,5,17
1979,10,5,0
1979,11,5,0
1979,12,5,0
1980,1,5,0
1980,2,5,8
1980,3,5,0
1980,4,5,268
1980,5,5,11.5
1980,6,5,32.5
1980,7,5,88
1980,8,5,24
1980,9,5,14.5
1980,10,5,26.5
1980,11,5,8
1980,12,5,0
1981,1,5,0
1981,2,5,0
1981,3,5,0
1981,4,5,3
1981,5,5,69.5
1981,6,5,21
1981,7,5,18.3
1981,8,5,55.5
1981,9,5,12
1981,10,5,0
1981,11,5,0
1981,12,5,0
1982,1,5,0
1982,2,5,0
1982,3,5,14
1982,4,5,0
1982,5,5,68.5
1982,6,5,128.5
1982,7,5,119.5
1982,8,5,51
1982,9,5,22.5
1982,10,5,11
1982,11,5,0
1982,12,5,0
1983,1,5,24
1983,2,5,0
1983,3,5,0
1983,4,5,18
1983,5,5,31.5
1983,6,5,99
1983,7,5,195
1983,8,5,88.5
1983,9,5,14
1983,10,5,0
1983,11,5,0
